episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,eat",1,74,74,1.0
1,"IF,no berries,high health,high society wellbeing,THEN,move",12,74,63,1.0
1,"IF,low berries,high health,high society wellbeing,THEN,eat",55,74,20,1.0
