prompt,rule,seed,episode_length,total_wellbeing,mean_wellbeing,min_wellbeing,gini_wellbeing,total_berries,mean_berries,min_berries,gini_berries,deceased,num_emerged_norms
baseline,selfish,1,74,186.66666666666669,46.66666666666667,34.99999999999996,0.14062500000000067,71,17.75,16,0.052816901408450745,0,4
baseline,selfless,1,74,93.3333333333333,23.333333333333325,5.833333333333327,0.53125,54,13.5,11,0.13888888888888884,0,9
baseline,utilitarian,1,74,145.83333333333343,36.45833333333336,11.66666666666666,0.4900000000000002,61,15.25,11,0.20901639344262302,0,10
cooperative,selfish,1,74,174.99999999999983,43.749999999999964,34.99999999999996,0.08333333333333348,69,17.25,15,0.047101449275362306,0,4
cooperative,selfless,1,74,40.83333333333329,10.208333333333321,5.833333333333308,0.10714285714285765,44,11.0,11,0.0,0,9
cooperative,utilitarian,1,74,40.83333333333327,10.208333333333318,5.833333333333327,0.10714285714285765,44,11.0,11,0.0,0,12
selfish,selfish,1,74,145.83333333333331,36.45833333333333,17.499999999999954,0.2700000000000007,65,16.25,13,0.10384615384615392,0,4
selfish,selfless,1,74,99.16666666666671,24.79166666666668,5.833333333333327,0.5735294117647061,57,14.25,11,0.17105263157894735,0,10
selfish,utilitarian,1,74,81.66666666666661,20.416666666666654,5.833333333333327,0.5357142857142856,54,13.5,11,0.13888888888888884,0,9
