episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,73,1.0
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",5,74,61,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",8,74,67,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",12,74,63,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",13,74,62,1.0
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",18,74,57,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",22,74,53,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",26,74,49,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",53,74,22,0.75
