episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",3,74,72,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",5,74,70,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",10,74,65,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",13,74,62,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",17,74,58,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",19,74,56,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",29,74,46,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",35,74,40,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",53,74,22,0.75
