episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",6,74,69,1.0
1,"IF,medium berries,high health,medium society wellbeing,THEN,throw",11,74,64,0.75
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",12,74,63,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",26,74,49,1.0
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",29,74,46,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",30,74,44,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",32,74,43,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",37,74,38,1.0
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",40,74,35,1.0
1,"IF,no berries,low health,low society wellbeing,THEN,move",47,74,28,0.75
