prompt,rule,seed,episode_length,total_wellbeing,mean_wellbeing,min_wellbeing,gini_wellbeing,total_berries,mean_berries,min_berries,gini_berries,deceased,num_emerged_norms
baseline,selfish,1,74,186.66666666666669,46.66666666666667,34.99999999999996,0.14062500000000067,71,17.75,16,0.052816901408450745,0,4
baseline,selfish,10,74,75.83333333333316,18.958333333333286,5.833333333333286,0.3653846153846161,53,13.25,11,0.08962264150943389,0,4
baseline,selfish,2,74,192.4999999999999,48.12499999999997,34.99999999999996,0.17424242424242453,71,17.75,15,0.0880281690140845,0,4
baseline,selfish,3,74,221.66666666666666,55.41666666666666,34.99999999999996,0.18421052631579005,77,19.25,16,0.0941558441558441,0,4
baseline,selfish,4,74,93.33333333333316,23.33333333333329,17.499999999999954,0.09375000000000022,56,14.0,13,0.02678571428571419,0,4
baseline,selfish,5,74,262.4999999999999,65.62499999999997,64.16666666666663,0.01666666666666683,84,21.0,20,0.017857142857142794,0,4
baseline,selfish,6,74,87.49999999999983,21.874999999999954,5.833333333333286,0.3166666666666673,55,13.75,11,0.08636363636363642,0,5
baseline,selfish,7,74,285.8333333333334,71.45833333333336,52.499999999999964,0.11734693877551083,88,22.0,19,0.0625,0,4
baseline,selfish,8,74,239.16666666666657,59.79166666666665,52.499999999999964,0.0670731707317076,79,19.75,18,0.04746835443037978,0,4
baseline,selfish,9,74,99.16666666666654,24.791666666666636,0.0,0.5147058823529413,56,14.0,10,0.1428571428571428,1,6
baseline,selfless,1,74,93.3333333333333,23.333333333333325,5.833333333333327,0.53125,54,13.5,11,0.13888888888888884,0,9
baseline,selfless,10,74,110.83333333333334,27.708333333333336,5.833333333333327,0.48684210526315796,56,14.0,11,0.1607142857142858,0,10
baseline,selfless,2,74,87.49999999999997,21.874999999999993,0.0,0.6166666666666667,51,12.75,7,0.22058823529411775,1,7
baseline,selfless,3,74,105.00000000000017,26.250000000000043,0.0,0.5833333333333339,56,14.0,10,0.1875,1,9
baseline,selfless,4,74,110.83333333333329,27.708333333333318,5.833333333333327,0.48684210526315796,55,13.75,11,0.1499999999999999,0,7
baseline,selfless,5,74,93.33333333333339,23.333333333333346,0.0,0.7187500000000002,55,13.75,10,0.19545454545454555,2,7
baseline,selfless,6,74,110.83333333333331,27.708333333333325,11.66666666666666,0.4342105263157894,55,13.75,11,0.1499999999999999,0,10
baseline,selfless,7,74,81.66666666666671,20.41666666666668,5.833333333333327,0.5357142857142858,54,13.5,11,0.13888888888888884,0,7
baseline,selfless,8,74,93.33333333333329,23.333333333333318,11.66666666666666,0.3749999999999998,53,13.25,11,0.12735849056603765,0,8
baseline,selfless,9,74,128.33333333333343,32.08333333333335,5.833333333333327,0.5909090909090908,61,15.25,11,0.20901639344262302,0,9
baseline,utilitarian,1,74,145.83333333333343,36.45833333333336,11.66666666666666,0.4900000000000002,61,15.25,11,0.20901639344262302,0,10
baseline,utilitarian,10,74,81.66666666666661,20.416666666666657,5.833333333333327,0.4642857142857144,49,12.25,8,0.16836734693877542,1,9
baseline,utilitarian,2,74,99.16666666666663,24.791666666666657,5.833333333333327,0.5441176470588236,55,13.75,11,0.1499999999999999,0,8
baseline,utilitarian,3,74,75.8333333333335,18.958333333333375,0.0,0.6730769230769236,50,12.5,8,0.19999999999999996,2,10
baseline,utilitarian,4,74,87.50000000000009,21.87500000000002,5.833333333333327,0.5500000000000003,55,13.75,11,0.1499999999999999,0,8
baseline,utilitarian,5,74,64.16666666666663,16.041666666666657,0.0,0.659090909090909,50,12.5,10,0.1399999999999999,2,10
baseline,utilitarian,6,74,116.6666666666668,29.1666666666667,5.833333333333327,0.5750000000000002,59,14.75,11,0.19067796610169485,0,10
baseline,utilitarian,7,74,87.50000000000009,21.87500000000002,5.833333333333327,0.5500000000000005,49,12.25,8,0.22959183673469385,2,9
baseline,utilitarian,8,74,99.16666666666669,24.79166666666667,5.833333333333327,0.5441176470588236,56,14.0,11,0.1607142857142858,0,6
baseline,utilitarian,9,74,116.66666666666677,29.16666666666669,5.833333333333327,0.5000000000000002,56,14.0,11,0.1607142857142858,0,10
cooperative,selfish,1,74,174.99999999999983,43.749999999999964,34.99999999999996,0.08333333333333348,69,17.25,15,0.047101449275362306,0,4
cooperative,selfish,10,74,174.99999999999994,43.74999999999999,17.499999999999954,0.30000000000000093,70,17.5,13,0.12857142857142856,0,4
cooperative,selfish,2,74,209.99999999999986,52.499999999999964,40.83333333333329,0.08333333333333348,75,18.75,16,0.050000000000000044,0,4
cooperative,selfish,3,74,198.33333333333331,49.58333333333333,40.83333333333329,0.10294117647058876,74,18.5,17,0.04729729729729737,0,4
cooperative,selfish,4,74,297.5000000000004,74.37500000000011,40.83333333333329,0.15196078431372628,90,22.5,17,0.07777777777777772,0,4
cooperative,selfish,5,74,151.66666666666663,37.91666666666666,17.499999999999954,0.26923076923076983,66,16.5,13,0.10606060606060597,0,4
cooperative,selfish,6,74,174.99999999999983,43.74999999999996,23.33333333333329,0.18333333333333357,69,17.25,14,0.06884057971014501,0,4
cooperative,selfish,7,74,221.66666666666657,55.41666666666664,29.16666666666662,0.1842105263157896,77,19.25,15,0.08116883116883122,0,4
cooperative,selfish,8,74,215.8333333333332,53.9583333333333,40.83333333333329,0.06081081081081097,77,19.25,17,0.02922077922077926,0,4
cooperative,selfish,9,74,262.5000000000002,65.62500000000006,64.16666666666663,0.01666666666666705,84,21.0,20,0.017857142857142794,0,4
cooperative,selfless,1,74,40.83333333333329,10.208333333333321,5.833333333333308,0.10714285714285765,44,11.0,11,0.0,0,9
cooperative,selfless,10,74,46.66666666666661,11.666666666666654,5.833333333333327,0.1875,45,11.25,11,0.016666666666666607,0,11
cooperative,selfless,2,74,23.33333333333329,5.833333333333323,0.0,0.37499999999999956,44,11.0,10,0.03409090909090917,1,7
cooperative,selfless,3,74,34.999999999999936,8.749999999999984,5.833333333333327,0.16666666666666696,45,11.25,11,0.016666666666666607,0,11
cooperative,selfless,4,74,23.333333333333314,5.833333333333329,0.0,0.375,42,10.5,9,0.03571428571428581,1,8
cooperative,selfless,5,74,40.83333333333328,10.208333333333321,5.833333333333327,0.10714285714285743,45,11.25,11,0.016666666666666607,0,11
cooperative,selfless,6,74,40.83333333333327,10.208333333333318,5.833333333333327,0.10714285714285765,44,11.0,11,0.0,0,9
cooperative,selfless,7,74,40.83333333333327,10.20833333333332,5.833333333333327,0.25,45,11.25,11,0.016666666666666607,0,11
cooperative,selfless,8,74,40.833333333333286,10.208333333333321,5.833333333333301,0.10714285714285787,44,11.0,11,0.0,0,11
cooperative,selfless,9,74,17.499999999999957,4.374999999999989,0.0,0.25000000000000067,42,10.5,9,0.03571428571428581,1,10
cooperative,utilitarian,1,74,40.83333333333327,10.208333333333318,5.833333333333327,0.10714285714285765,44,11.0,11,0.0,0,12
cooperative,utilitarian,10,74,34.99999999999994,8.749999999999986,5.833333333333327,0.16666666666666696,44,11.0,11,0.0,0,11
cooperative,utilitarian,2,74,23.333333333333286,5.8333333333333215,5.833333333333305,6.661338147750939e-16,44,11.0,11,0.0,0,8
cooperative,utilitarian,3,74,34.999999999999936,8.749999999999984,5.833333333333327,0.16666666666666696,45,11.25,11,0.016666666666666607,0,10
cooperative,utilitarian,4,74,52.49999999999995,13.124999999999986,5.833333333333327,0.19444444444444442,45,11.25,11,0.016666666666666607,0,11
cooperative,utilitarian,5,74,40.833333333333286,10.208333333333321,5.833333333333327,0.10714285714285743,45,11.25,11,0.016666666666666607,0,11
cooperative,utilitarian,6,74,46.666666666666615,11.666666666666654,5.833333333333327,0.18750000000000022,45,11.25,11,0.016666666666666607,0,11
cooperative,utilitarian,7,74,29.166666666666618,7.2916666666666545,5.833333333333305,0.15000000000000102,44,11.0,11,0.0,0,11
cooperative,utilitarian,8,74,46.66666666666661,11.66666666666665,5.833333333333327,0.1875,44,11.0,11,0.0,0,12
cooperative,utilitarian,9,74,29.16666666666661,7.291666666666654,5.8333333333332975,0.15000000000000102,44,11.0,11,0.0,0,11
None,selfish,1,74,93.33333333333316,23.33333333333329,11.666666666666618,0.34375000000000067,56,14.0,12,0.09821428571428581,0,4
None,selfish,10,74,326.666666666667,81.66666666666676,58.3333333333333,0.09821428571428603,94,23.5,20,0.0478723404255319,0,4
None,selfish,2,74,163.33333333333317,40.83333333333329,11.666666666666618,0.2500000000000002,67,16.75,12,0.10074626865671643,0,4
None,selfish,3,74,239.16666666666677,59.791666666666686,40.83333333333329,0.12804878048780566,80,20.0,16,0.07499999999999996,0,4
None,selfish,4,74,169.16666666666652,42.29166666666662,29.16666666666662,0.1637931034482758,68,17.0,15,0.07352941176470584,0,4
None,selfish,5,74,110.83333333333316,27.708333333333293,11.666666666666618,0.27631578947368474,58,14.5,12,0.09482758620689657,0,4
None,selfish,6,74,169.16666666666652,42.29166666666662,23.33333333333329,0.19827586206896575,68,17.0,14,0.07352941176470584,0,4
None,selfish,7,74,87.49999999999982,21.874999999999954,5.833333333333286,0.2833333333333339,54,13.5,11,0.06481481481481488,0,5
None,selfish,8,74,145.83333333333317,36.45833333333329,23.33333333333329,0.13000000000000012,65,16.25,14,0.050000000000000044,0,4
None,selfish,9,74,215.83333333333337,53.95833333333334,34.99999999999996,0.12837837837837895,77,19.25,16,0.06168831168831179,0,4
None,selfless,1,74,34.99999999999997,8.749999999999993,5.833333333333327,0.16666666666666696,44,11.0,11,0.0,0,9
None,selfless,10,74,23.33333333333332,5.83333333333333,0.0,0.5,30,7.5,4,0.2333333333333334,2,10
None,selfless,2,74,46.66666666666664,11.66666666666666,5.833333333333327,0.1875,44,11.0,11,0.0,0,8
None,selfless,3,74,23.333333333333314,5.833333333333329,0.0,0.375,43,10.75,10,0.01744186046511631,1,9
None,selfless,4,74,40.83333333333331,10.208333333333329,5.833333333333327,0.1071428571428572,44,11.0,11,0.0,0,9
None,selfless,5,74,40.83333333333331,10.208333333333329,5.833333333333327,0.1071428571428572,44,11.0,11,0.0,0,9
None,selfless,6,74,40.83333333333331,10.208333333333327,5.833333333333327,0.1071428571428572,44,11.0,11,0.0,0,10
None,selfless,7,74,46.66666666666664,11.66666666666666,5.833333333333327,0.1875,44,11.0,11,0.0,0,10
None,selfless,8,74,34.99999999999997,8.749999999999995,5.833333333333327,0.16666666666666696,44,11.0,11,0.0,0,10
None,selfless,9,74,40.83333333333331,10.208333333333327,5.833333333333327,0.1071428571428572,44,11.0,11,0.0,0,8
