prompt,rule,seed,mean_wellbeing,deaths,gini,mean_health,emerged_norms
cooperative,selfish,8,3.237499999999998,0,0.0292207792207792,3.237499999999998,4.0
cooperative,selfish,9,3.850000000000003,0,0.0178571428571427,3.850000000000003,4.0
cooperative,selfless,1,0.3499999999999993,0,0.0,0.3499999999999993,9.0
cooperative,selfless,10,0.4374999999999991,0,0.0166666666666666,0.4374999999999991,11.0
cooperative,selfless,2,0.3499999999999993,1,0.0340909090909091,0.3499999999999993,7.0
cooperative,selfless,3,0.4374999999999991,0,0.0166666666666666,0.4374999999999991,11.0
cooperative,selfless,4,0.2624999999999997,1,0.0357142857142858,0.2624999999999997,8.0
cooperative,selfless,5,0.4374999999999992,0,0.0166666666666666,0.4374999999999992,11.0
cooperative,selfless,6,0.3499999999999991,0,0.0,0.3499999999999991,9.0
cooperative,selfless,7,0.4374999999999991,0,0.0166666666666666,0.4374999999999991,11.0
cooperative,selfless,8,0.3499999999999992,0,0.0,0.3499999999999992,11.0
cooperative,selfless,9,0.2624999999999993,1,0.0357142857142858,0.2624999999999993,10.0
cooperative,utilitarian,1,0.3499999999999991,0,0.0,0.3499999999999991,12.0
cooperative,utilitarian,10,0.3499999999999992,0,0.0,0.3499999999999992,11.0
cooperative,utilitarian,2,0.3499999999999992,0,0.0,0.3499999999999992,8.0
cooperative,utilitarian,3,0.4374999999999991,0,0.0166666666666666,0.4374999999999991,10.0
cooperative,utilitarian,4,0.4374999999999992,0,0.0166666666666666,0.4374999999999992,11.0
cooperative,utilitarian,5,0.4374999999999993,0,0.0166666666666666,0.4374999999999993,11.0
cooperative,utilitarian,6,0.4374999999999992,0,0.0166666666666666,0.4374999999999992,11.0
cooperative,utilitarian,7,0.3499999999999992,0,0.0,0.3499999999999992,11.0
cooperative,utilitarian,8,0.3499999999999991,0,0.0,0.3499999999999991,12.0
cooperative,utilitarian,9,0.3499999999999991,0,0.0,0.3499999999999991,11.0
None,selfish,1,1.3999999999999972,0,0.0982142857142858,1.3999999999999972,4.0
None,selfish,10,4.725000000000005,0,0.0478723404255319,4.725000000000005,4.0
None,selfish,2,2.362499999999997,0,0.1007462686567164,2.362499999999997,4.0
None,selfish,3,3.5000000000000013,0,0.0749999999999999,3.5000000000000013,4.0
None,selfish,4,2.449999999999997,0,0.0735294117647058,2.449999999999997,4.0
None,selfish,5,1.5749999999999973,0,0.0948275862068965,1.5749999999999973,4.0
None,selfish,6,2.449999999999997,0,0.0735294117647058,2.449999999999997,4.0
None,selfish,7,1.2249999999999972,0,0.0648148148148148,1.2249999999999972,5.0
None,selfish,8,2.1874999999999973,0,0.05,2.1874999999999973,4.0
None,selfish,9,3.2375000000000003,0,0.0616883116883117,3.2375000000000003,4.0
None,selfless,1,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,selfless,10,0.1749999999999998,2,0.2333333333333334,0.1749999999999998,10.0
None,selfless,2,0.3499999999999996,0,0.0,0.3499999999999996,8.0
None,selfless,3,0.2624999999999997,1,0.0174418604651163,0.2624999999999997,9.0
None,selfless,4,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,selfless,5,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,selfless,6,0.3499999999999996,0,0.0,0.3499999999999996,10.0
None,selfless,7,0.3499999999999996,0,0.0,0.3499999999999996,10.0
None,selfless,8,0.3499999999999996,0,0.0,0.3499999999999996,10.0
None,selfless,9,0.3499999999999996,0,0.0,0.3499999999999996,8.0
None,utilitarian,1,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,utilitarian,10,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,utilitarian,2,0.2624999999999997,1,0.0174418604651163,0.2624999999999997,8.0
None,utilitarian,3,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,utilitarian,4,0.3499999999999996,0,0.0,0.3499999999999996,10.0
None,utilitarian,5,0.3499999999999996,0,0.0,0.3499999999999996,9.0
None,utilitarian,6,0.2624999999999997,1,0.0357142857142858,0.2624999999999997,7.0
None,utilitarian,7,0.3499999999999996,0,0.0,0.3499999999999996,12.0
None,utilitarian,8,0.3499999999999996,0,0.0,0.3499999999999996,11.0
None,utilitarian,9,0.3499999999999996,0,0.0,0.3499999999999996,9.0
selfish,selfish,1,2.1875,0,0.1038461538461539,2.1875,4.0
selfish,selfish,10,3.937500000000004,0,0.0382352941176471,3.937500000000004,4.0
selfish,selfish,2,1.1374999999999973,0,0.070754716981132,1.1374999999999973,5.0
selfish,selfish,3,2.537499999999998,0,0.0615942028985507,2.537499999999998,4.0
selfish,selfish,4,3.5000000000000018,0,0.06875,3.5000000000000018,4.0
selfish,selfish,5,2.7124999999999995,0,0.0880281690140845,2.7124999999999995,4.0
selfish,selfish,6,4.462500000000004,0,0.0302197802197801,4.462500000000004,4.0
selfish,selfish,7,3.4999999999999982,0,0.0625,3.4999999999999982,4.0
selfish,selfish,8,2.099999999999997,0,0.09375,2.099999999999997,6.0
selfish,selfish,9,3.4999999999999982,0,0.05,3.4999999999999982,4.0
selfish,selfless,1,1.4875000000000007,0,0.1710526315789473,1.4875000000000007,10.0
selfish,selfless,10,0.7874999999999994,3,0.3141025641025641,0.7874999999999994,10.0
selfish,selfless,2,1.4000000000000012,0,0.1607142857142858,1.4000000000000012,8.0
selfish,selfless,3,1.1375000000000015,3,0.3841463414634145,1.1375000000000015,7.0
selfish,selfless,4,1.137499999999999,0,0.1273584905660376,1.137499999999999,7.0
selfish,selfless,5,1.6625000000000014,1,0.3254716981132075,1.6625000000000014,7.0
selfish,selfless,6,1.5750000000000022,0,0.1810344827586207,1.5750000000000022,9.0
selfish,selfless,7,1.837500000000002,0,0.209016393442623,1.837500000000002,8.0
selfish,selfless,8,1.3124999999999998,1,0.1772727272727272,1.3124999999999998,11.0
selfish,selfless,9,1.4875000000000005,0,0.1710526315789473,1.4875000000000005,9.0
selfish,utilitarian,1,1.2249999999999992,0,0.1388888888888888,1.2249999999999992,9.0
selfish,utilitarian,10,1.2249999999999992,0,0.1388888888888888,1.2249999999999992,10.0
selfish,utilitarian,2,1.0499999999999994,2,0.1999999999999999,1.0499999999999994,8.0
selfish,utilitarian,3,0.8749999999999997,3,0.1683673469387754,0.8749999999999997,9.0
selfish,utilitarian,4,1.400000000000002,1,0.2045454545454545,1.400000000000002,9.0
selfish,utilitarian,5,1.3125000000000009,0,0.1499999999999999,1.3125000000000009,10.0
selfish,utilitarian,6,0.9624999999999992,1,0.1875,0.9624999999999992,9.0
selfish,utilitarian,7,0.8749999999999997,3,0.2616279069767442,0.8749999999999997,7.0
selfish,utilitarian,8,1.5750000000000008,0,0.1810344827586207,1.5750000000000008,13.0
selfish,utilitarian,9,1.3125000000000009,0,0.1499999999999999,1.3125000000000009,9.0
