episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",1,74,74,0.75
1,"IF,medium berries,high health,medium society wellbeing,THEN,throw",2,74,73,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",5,74,70,1.0
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",12,74,63,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",13,74,62,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",17,74,58,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",19,74,56,1.0
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",20,74,55,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",24,74,51,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",41,74,34,1.0
