episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,73,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",5,74,70,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",13,74,62,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",19,74,56,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",27,74,48,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",36,74,39,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",41,74,34,0.75
1,"IF,low berries,low health,medium society wellbeing,THEN,eat",59,74,16,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",65,74,10,0.75
