episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,73,1.0
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",5,74,70,1.0
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",8,74,67,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",12,74,63,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",13,74,62,1.0
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",17,74,58,1.0
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",18,74,57,1.0
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",28,74,47,1.0
1,"IF,no berries,low health,low society wellbeing,THEN,move",41,74,34,1.0
1,"IF,low berries,low health,medium society wellbeing,THEN,eat",59,74,16,0.75
