episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,73,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",6,74,69,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",14,74,61,0.75
1,"IF,low berries,low health,low society wellbeing,THEN,eat",19,74,56,0.75
1,"IF,no berries,medium health,low society wellbeing,THEN,move",25,74,50,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",28,74,47,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",29,74,46,0.75
1,"IF,low berries,low health,medium society wellbeing,THEN,eat",41,74,34,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",47,74,28,0.75
