agent_id,episode,step,berries,berries_consumed,berries_thrown,health,wellbeing,action,dead,num_behaviours
3,1,33,0,1,27,1.209999999999999,40.33333333333331,throw,False,10
0,1,34,5,3,10,1.579999999999999,85.99999999999997,move,False,15
1,1,34,2,1,27,1.179999999999999,52.66666666666664,throw,False,11
2,1,34,1,1,22,1.179999999999999,45.99999999999997,throw,False,13
3,1,34,0,1,28,1.179999999999999,39.3333333333333,throw,False,10
0,1,35,5,3,10,1.549999999999999,84.99999999999997,move,False,15
1,1,35,1,2,27,1.349999999999999,51.666666666666636,eat,False,11
2,1,35,1,1,22,1.149999999999999,44.999999999999964,move,False,13
3,1,35,0,1,28,1.149999999999999,38.3333333333333,wait,False,11
0,1,36,6,3,10,1.519999999999999,90.66666666666663,move,False,15
1,1,36,0,2,28,1.319999999999999,43.999999999999964,throw,False,11
2,1,36,1,2,22,1.319999999999999,50.66666666666663,eat,False,14
3,1,36,1,1,28,1.119999999999999,43.999999999999964,move,False,12
0,1,37,6,3,10,1.4899999999999989,89.66666666666664,move,False,15
1,1,37,0,2,28,1.289999999999999,42.999999999999964,move,False,12
2,1,37,0,2,23,1.289999999999999,42.999999999999964,throw,False,14
3,1,37,1,2,28,1.289999999999999,49.66666666666663,eat,False,12
0,1,38,6,3,10,1.4599999999999989,88.66666666666664,move,False,15
1,1,38,0,2,29,1.259999999999999,41.999999999999964,throw,False,12
2,1,38,0,2,23,1.259999999999999,41.999999999999964,move,False,14
3,1,38,1,2,29,1.259999999999999,48.66666666666663,throw,False,12
0,1,39,6,3,10,1.4299999999999988,87.66666666666664,move,False,15
1,1,39,0,2,30,1.2299999999999989,40.999999999999964,throw,False,12
2,1,39,1,2,23,1.2299999999999989,47.66666666666663,move,False,14
3,1,39,0,2,30,1.2299999999999989,40.999999999999964,throw,False,12
0,1,40,6,3,10,1.3999999999999988,86.66666666666663,move,False,15
1,1,40,0,2,30,1.1999999999999988,39.999999999999964,move,False,12
2,1,40,1,2,23,1.1999999999999988,46.66666666666663,wait,False,15
3,1,40,0,2,30,1.1999999999999988,39.999999999999964,move,False,12
0,1,41,6,3,10,1.3699999999999988,85.66666666666663,move,False,15
1,1,41,0,2,30,1.1699999999999988,38.999999999999964,move,False,12
2,1,41,0,3,23,1.3699999999999988,45.66666666666663,eat,False,15
3,1,41,0,2,30,1.1699999999999988,38.999999999999964,move,False,12
0,1,42,5,3,11,1.3399999999999987,77.99999999999997,throw,False,16
1,1,42,1,2,30,1.1399999999999988,44.66666666666663,move,False,12
2,1,42,0,3,23,1.3399999999999987,44.66666666666663,move,False,15
3,1,42,1,2,30,1.1399999999999988,44.66666666666663,move,False,12
0,1,43,4,3,12,1.3099999999999987,70.33333333333329,throw,False,16
1,1,43,1,3,30,1.3099999999999987,50.33333333333329,eat,False,12
2,1,43,0,3,23,1.3099999999999987,43.66666666666663,move,False,15
3,1,43,0,3,30,1.3099999999999987,43.66666666666663,eat,False,12
0,1,44,3,3,13,1.2799999999999987,62.66666666666663,throw,False,16
1,1,44,0,3,31,1.2799999999999987,42.66666666666662,throw,False,12
2,1,44,1,3,24,1.2799999999999987,49.33333333333329,throw,False,15
3,1,44,1,3,30,1.2799999999999987,49.33333333333329,move,False,12
0,1,45,3,3,14,1.2499999999999987,61.66666666666663,throw,False,16
1,1,45,1,3,32,1.2499999999999987,48.333333333333286,throw,False,12
2,1,45,0,3,25,1.2499999999999987,41.66666666666662,throw,False,15
3,1,45,1,3,31,1.2499999999999987,48.333333333333286,throw,False,12
0,1,46,2,3,15,1.2199999999999986,53.999999999999964,throw,False,16
1,1,46,1,3,33,1.2199999999999986,47.333333333333286,throw,False,12
2,1,46,1,3,25,1.2199999999999986,47.333333333333286,move,False,15
3,1,46,1,3,32,1.2199999999999986,47.333333333333286,throw,False,12
0,1,47,2,3,16,1.1899999999999986,52.99999999999995,throw,False,16
1,1,47,0,3,34,1.1899999999999986,39.66666666666662,throw,False,12
2,1,47,1,3,26,1.1899999999999986,46.333333333333286,throw,False,15
3,1,47,2,3,32,1.1899999999999986,52.99999999999995,move,False,13
0,1,48,1,3,17,1.1599999999999986,45.333333333333286,throw,False,16
1,1,48,1,3,34,1.1599999999999986,45.333333333333286,move,False,12
2,1,48,1,4,26,1.3599999999999985,51.99999999999995,eat,False,15
3,1,48,1,4,32,1.3599999999999985,51.99999999999995,eat,False,13
0,1,49,1,3,18,1.1299999999999986,44.333333333333286,throw,False,16
1,1,49,1,4,34,1.3299999999999985,50.99999999999995,eat,False,12
2,1,49,0,4,27,1.3299999999999985,44.333333333333286,throw,False,15
3,1,49,1,4,33,1.3299999999999985,50.99999999999995,throw,False,13
0,1,50,1,3,19,1.0999999999999985,43.333333333333286,throw,False,16
1,1,50,1,4,35,1.2999999999999985,49.99999999999995,throw,False,12
2,1,50,1,4,27,1.2999999999999985,49.99999999999995,wait,False,15
3,1,50,0,4,34,1.2999999999999985,43.333333333333286,throw,False,13
