episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",1,74,74,0.75
1,"IF,medium berries,high health,medium society wellbeing,THEN,throw",4,74,71,0.75
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",5,74,70,1.0
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",12,74,63,1.0
1,"IF,low berries,medium health,medium society wellbeing,THEN,move",13,74,62,0.75
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",20,74,55,1.0
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",23,74,52,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",26,74,49,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",27,74,48,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",30,74,45,1.0
1,"IF,no berries,low health,low society wellbeing,THEN,move",35,74,40,1.0
