episode,behaviour,first_seen,last_seen,times_emerged,max_adoption
1,"IF,no berries,high health,medium society wellbeing,THEN,move",0,74,75,1.0
1,"IF,low berries,high health,medium society wellbeing,THEN,throw",2,74,67,0.75
1,"IF,medium berries,high health,medium society wellbeing,THEN,throw",4,74,71,1.0
1,"IF,medium berries,medium health,medium society wellbeing,THEN,throw",6,74,69,0.75
1,"IF,medium berries,low health,medium society wellbeing,THEN,eat",12,74,63,0.75
1,"IF,low berries,medium health,medium society wellbeing,THEN,throw",23,74,52,1.0
1,"IF,low berries,medium health,low society wellbeing,THEN,throw",25,74,50,1.0
1,"IF,no berries,medium health,low society wellbeing,THEN,move",27,74,48,1.0
1,"IF,low berries,low health,low society wellbeing,THEN,eat",30,74,45,0.75
1,"IF,medium berries,medium health,low society wellbeing,THEN,throw",38,74,37,0.75
1,"IF,medium berries,low health,low society wellbeing,THEN,eat",42,74,33,0.75
1,"IF,no berries,low health,low society wellbeing,THEN,move",65,74,10,0.75
